Log: /scratch2/09796/shuyuanfan4814/carbon/out/frontera-weighted84.7951098.20260923T035234Z.iXUBuI.log
Slurm job: 7951098
Host: c211-013.frontera.tacc.utexas.edu
Python: /home1/09796/shuyuanfan4814/.conda/envs/carbon/bin/python
PyTorch: 2.6.0+cpu
sklearn: 1.6.1; scipy: 1.16.3; matplotlib: 3.11.2
frontera-train-0000 Fixed-4: completed, chunks=5
weighted validation 32: frontera-validation-0003 alpha=1.0: completed
weighted validation 32: frontera-validation-0004 alpha=0.0: completed
weighted validation 32: frontera-validation-0004 alpha=0.2: completed
weighted validation 32: frontera-validation-0004 alpha=0.5: completed
weighted validation 32: frontera-validation-0004 alpha=0.8: completed
weighted validation 32: frontera-validation-0004 alpha=1.0: completed
weighted validation 32: frontera-validation-0005 alpha=0.0: completed
weighted validation 32: frontera-validation-0005 alpha=0.2: completed
weighted validation 32: frontera-validation-0005 alpha=0.5: completed
weighted validation 32: frontera-validation-0005 alpha=0.8: completed
weighted validation 32: frontera-validation-0005 alpha=1.0: completed
weighted validation 32: frontera-validation-0006 alpha=0.0: completed
weighted validation 32: frontera-validation-0006 alpha=0.2: completed
weighted validation 32: frontera-validation-0006 alpha=0.5: completed
weighted validation 32: frontera-validation-0006 alpha=0.8: completed
weighted validation 32: frontera-validation-0006 alpha=1.0: completed
weighted validation 32: frontera-validation-0007 alpha=0.0: completed
weighted validation 32: frontera-validation-0007 alpha=0.2: completed
weighted validation 32: frontera-validation-0007 alpha=0.5: completed
weighted validation 32: frontera-validation-0007 alpha=0.8: completed
weighted validation 32: frontera-validation-0007 alpha=1.0: completed
weighted validation 32: frontera-validation-0008 alpha=0.0: completed
weighted validation 32: frontera-validation-0008 alpha=0.2: completed
weighted validation 32: frontera-validation-0008 alpha=0.5: completed
weighted validation 32: frontera-validation-0008 alpha=0.8: completed
weighted validation 32: frontera-validation-0008 alpha=1.0: completed
weighted validation 32: frontera-validation-0009 alpha=0.0: completed
weighted validation 32: frontera-validation-0009 alpha=0.2: completed
weighted validation 32: frontera-validation-0009 alpha=0.5: completed
weighted validation 32: frontera-validation-0009 alpha=0.8: completed
weighted validation 32: frontera-validation-0009 alpha=1.0: completed
weighted validation 32: frontera-validation-0010 alpha=0.0: completed
weighted validation 32: frontera-validation-0010 alpha=0.2: completed
weighted validation 32: frontera-validation-0010 alpha=0.5: completed
weighted validation 32: frontera-validation-0010 alpha=0.8: completed
weighted validation 32: frontera-validation-0010 alpha=1.0: completed
weighted validation 32: frontera-validation-0011 alpha=0.0: completed
weighted validation 32: frontera-validation-0011 alpha=0.2: completed
weighted validation 32: frontera-validation-0011 alpha=0.5: completed
weighted validation 32: frontera-validation-0011 alpha=0.8: completed
weighted validation 32: frontera-validation-0011 alpha=1.0: completed
weighted validation 32: frontera-validation-0012 alpha=0.0: completed
weighted validation 32: frontera-validation-0012 alpha=0.2: completed
weighted validation 32: frontera-validation-0012 alpha=0.5: completed
weighted validation 32: frontera-validation-0012 alpha=0.8: completed
weighted validation 32: frontera-validation-0012 alpha=1.0: completed
weighted validation 32: frontera-validation-0013 alpha=0.0: completed
weighted validation 32: frontera-validation-0013 alpha=0.2: completed
weighted validation 32: frontera-validation-0013 alpha=0.5: completed
weighted validation 32: frontera-validation-0013 alpha=0.8: completed
weighted validation 32: frontera-validation-0013 alpha=1.0: completed
weighted validation 32: frontera-validation-0014 alpha=0.0: completed
weighted validation 32: frontera-validation-0014 alpha=0.2: completed
weighted validation 32: frontera-validation-0014 alpha=0.5: completed
weighted validation 32: frontera-validation-0014 alpha=0.8: completed
weighted validation 32: frontera-validation-0014 alpha=1.0: completed
weighted validation 32: frontera-validation-0015 alpha=0.0: completed
weighted validation 32: frontera-validation-0015 alpha=0.2: completed
weighted validation 32: frontera-validation-0015 alpha=0.5: completed
weighted validation 32: frontera-validation-0015 alpha=0.8: completed
weighted validation 32: frontera-validation-0015 alpha=1.0: completed
weighted validation 32: frontera-validation-0016 alpha=0.0: completed
weighted validation 32: frontera-validation-0016 alpha=0.2: completed
weighted validation 32: frontera-validation-0016 alpha=0.5: completed
weighted validation 32: frontera-validation-0016 alpha=0.8: completed
weighted validation 32: frontera-validation-0016 alpha=1.0: completed
weighted validation 32: frontera-validation-0017 alpha=0.0: completed
weighted validation 32: frontera-validation-0017 alpha=0.2: completed
weighted validation 32: frontera-validation-0017 alpha=0.5: completed
weighted validation 32: frontera-validation-0017 alpha=0.8: completed
weighted validation 32: frontera-validation-0017 alpha=1.0: completed
weighted validation 32: frontera-validation-0018 alpha=0.0: completed
weighted validation 32: frontera-validation-0018 alpha=0.2: completed
weighted validation 32: frontera-validation-0018 alpha=0.5: completed
weighted validation 32: frontera-validation-0018 alpha=0.8: completed
weighted validation 32: frontera-validation-0018 alpha=1.0: completed
weighted validation 32: frontera-validation-0019 alpha=0.0: completed
weighted validation 32: frontera-validation-0019 alpha=0.2: completed
weighted validation 32: frontera-validation-0019 alpha=0.5: completed
weighted validation 32: frontera-validation-0019 alpha=0.8: completed
weighted validation 32: frontera-validation-0019 alpha=1.0: completed
weighted validation 32: frontera-validation-0020 alpha=0.0: completed
weighted validation 32: frontera-validation-0020 alpha=0.2: completed
weighted validation 32: frontera-validation-0020 alpha=0.5: completed
weighted validation 32: frontera-validation-0020 alpha=0.8: completed
weighted validation 32: frontera-validation-0020 alpha=1.0: completed
weighted validation 32: frontera-validation-0021 alpha=0.0: completed
weighted validation 32: frontera-validation-0021 alpha=0.2: completed
weighted validation 32: frontera-validation-0021 alpha=0.5: completed
weighted validation 32: frontera-validation-0021 alpha=0.8: completed
weighted validation 32: frontera-validation-0021 alpha=1.0: completed
weighted validation 32: frontera-validation-0022 alpha=0.0: completed
weighted validation 32: frontera-validation-0022 alpha=0.2: completed
weighted validation 32: frontera-validation-0022 alpha=0.5: completed
weighted validation 32: frontera-validation-0022 alpha=0.8: completed
weighted validation 32: frontera-validation-0022 alpha=1.0: completed
weighted validation 32: frontera-validation-0023 alpha=0.0: completed
weighted validation 32: frontera-validation-0023 alpha=0.2: completed
weighted validation 32: frontera-validation-0023 alpha=0.5: completed
weighted validation 32: frontera-validation-0023 alpha=0.8: completed
weighted validation 32: frontera-validation-0023 alpha=1.0: completed
weighted validation 48: frontera-validation-0000 alpha=0.0: completed
weighted validation 48: frontera-validation-0000 alpha=0.2: completed
weighted validation 48: frontera-validation-0000 alpha=0.5: completed
weighted validation 48: frontera-validation-0000 alpha=0.8: completed
weighted validation 48: frontera-validation-0000 alpha=1.0: completed
weighted validation 48: frontera-validation-0001 alpha=0.0: completed
weighted validation 48: frontera-validation-0001 alpha=0.2: completed
weighted validation 48: frontera-validation-0001 alpha=0.5: completed
weighted validation 48: frontera-validation-0001 alpha=0.8: completed
weighted validation 48: frontera-validation-0001 alpha=1.0: completed
weighted validation 48: frontera-validation-0002 alpha=0.0: completed
weighted validation 48: frontera-validation-0002 alpha=0.2: completed
weighted validation 48: frontera-validation-0002 alpha=0.5: completed
weighted validation 48: frontera-validation-0002 alpha=0.8: completed
weighted validation 48: frontera-validation-0002 alpha=1.0: completed
weighted validation 48: frontera-validation-0003 alpha=0.0: completed
weighted validation 48: frontera-validation-0003 alpha=0.2: completed
weighted validation 48: frontera-validation-0003 alpha=0.5: completed
weighted validation 48: frontera-validation-0003 alpha=0.8: completed
weighted validation 48: frontera-validation-0003 alpha=1.0: completed
weighted validation 48: frontera-validation-0004 alpha=0.0: completed
weighted validation 48: frontera-validation-0004 alpha=0.2: completed
weighted validation 48: frontera-validation-0004 alpha=0.5: completed
weighted validation 48: frontera-validation-0004 alpha=0.8: completed
weighted validation 48: frontera-validation-0004 alpha=1.0: completed
weighted validation 48: frontera-validation-0005 alpha=0.0: completed
weighted validation 48: frontera-validation-0005 alpha=0.2: completed
weighted validation 48: frontera-validation-0005 alpha=0.5: completed
weighted validation 48: frontera-validation-0005 alpha=0.8: completed
weighted validation 48: frontera-validation-0005 alpha=1.0: completed
weighted validation 48: frontera-validation-0006 alpha=0.0: completed
weighted validation 48: frontera-validation-0006 alpha=0.2: completed
weighted validation 48: frontera-validation-0006 alpha=0.5: completed
weighted validation 48: frontera-validation-0006 alpha=0.8: completed
weighted validation 48: frontera-validation-0006 alpha=1.0: completed
weighted validation 48: frontera-validation-0007 alpha=0.0: completed
weighted validation 48: frontera-validation-0007 alpha=0.2: completed
weighted validation 48: frontera-validation-0007 alpha=0.5: completed
weighted validation 48: frontera-validation-0007 alpha=0.8: completed
weighted validation 48: frontera-validation-0007 alpha=1.0: completed
weighted validation 48: frontera-validation-0008 alpha=0.0: completed
weighted validation 48: frontera-validation-0008 alpha=0.2: completed
weighted validation 48: frontera-validation-0008 alpha=0.5: completed
weighted validation 48: frontera-validation-0008 alpha=0.8: completed
weighted validation 48: frontera-validation-0008 alpha=1.0: completed
weighted validation 48: frontera-validation-0009 alpha=0.0: completed
weighted validation 48: frontera-validation-0009 alpha=0.2: completed
weighted validation 48: frontera-validation-0009 alpha=0.5: completed
weighted validation 48: frontera-validation-0009 alpha=0.8: completed
weighted validation 48: frontera-validation-0009 alpha=1.0: completed
weighted validation 48: frontera-validation-0010 alpha=0.0: completed
weighted validation 48: frontera-validation-0010 alpha=0.2: completed
weighted validation 48: frontera-validation-0010 alpha=0.5: completed
weighted validation 48: frontera-validation-0010 alpha=0.8: completed
weighted validation 48: frontera-validation-0010 alpha=1.0: completed
weighted validation 48: frontera-validation-0011 alpha=0.0: completed
weighted validation 48: frontera-validation-0011 alpha=0.2: completed
weighted validation 48: frontera-validation-0011 alpha=0.5: completed
weighted validation 48: frontera-validation-0011 alpha=0.8: completed
weighted validation 48: frontera-validation-0011 alpha=1.0: completed
weighted validation 48: frontera-validation-0012 alpha=0.0: completed
weighted validation 48: frontera-validation-0012 alpha=0.2: completed
weighted validation 48: frontera-validation-0012 alpha=0.5: completed
weighted validation 48: frontera-validation-0012 alpha=0.8: completed
weighted validation 48: frontera-validation-0012 alpha=1.0: completed
weighted validation 48: frontera-validation-0013 alpha=0.0: completed
weighted validation 48: frontera-validation-0013 alpha=0.2: completed
weighted validation 48: frontera-validation-0013 alpha=0.5: completed
weighted validation 48: frontera-validation-0013 alpha=0.8: completed
weighted validation 48: frontera-validation-0013 alpha=1.0: completed
weighted validation 48: frontera-validation-0014 alpha=0.0: completed
weighted validation 48: frontera-validation-0014 alpha=0.2: completed
weighted validation 48: frontera-validation-0014 alpha=0.5: completed
weighted validation 48: frontera-validation-0014 alpha=0.8: completed
weighted validation 48: frontera-validation-0014 alpha=1.0: completed
weighted validation 48: frontera-validation-0015 alpha=0.0: completed
weighted validation 48: frontera-validation-0015 alpha=0.2: completed
weighted validation 48: frontera-validation-0015 alpha=0.5: completed
weighted validation 48: frontera-validation-0015 alpha=0.8: completed
weighted validation 48: frontera-validation-0015 alpha=1.0: completed
weighted validation 48: frontera-validation-0016 alpha=0.0: completed
weighted validation 48: frontera-validation-0016 alpha=0.2: completed
weighted validation 48: frontera-validation-0016 alpha=0.5: completed
weighted validation 48: frontera-validation-0016 alpha=0.8: completed
weighted validation 48: frontera-validation-0016 alpha=1.0: completed
weighted validation 48: frontera-validation-0017 alpha=0.0: completed
weighted validation 48: frontera-validation-0017 alpha=0.2: completed
weighted validation 48: frontera-validation-0017 alpha=0.5: completed
weighted validation 48: frontera-validation-0017 alpha=0.8: completed
weighted validation 48: frontera-validation-0017 alpha=1.0: completed
weighted validation 48: frontera-validation-0018 alpha=0.0: completed
weighted validation 48: frontera-validation-0018 alpha=0.2: completed
weighted validation 48: frontera-validation-0018 alpha=0.5: completed
weighted validation 48: frontera-validation-0018 alpha=0.8: completed
weighted validation 48: frontera-validation-0018 alpha=1.0: completed
weighted validation 48: frontera-validation-0019 alpha=0.0: completed
weighted validation 48: frontera-validation-0019 alpha=0.2: completed
weighted validation 48: frontera-validation-0019 alpha=0.5: completed
weighted validation 48: frontera-validation-0019 alpha=0.8: completed
weighted validation 48: frontera-validation-0019 alpha=1.0: completed
weighted validation 48: frontera-validation-0020 alpha=0.0: completed
weighted validation 48: frontera-validation-0020 alpha=0.2: completed
weighted validation 48: frontera-validation-0020 alpha=0.5: completed
weighted validation 48: frontera-validation-0020 alpha=0.8: completed
weighted validation 48: frontera-validation-0020 alpha=1.0: completed
weighted validation 48: frontera-validation-0021 alpha=0.0: completed
weighted validation 48: frontera-validation-0021 alpha=0.2: completed
weighted validation 48: frontera-validation-0021 alpha=0.5: completed
weighted validation 48: frontera-validation-0021 alpha=0.8: completed
weighted validation 48: frontera-validation-0021 alpha=1.0: completed
weighted validation 48: frontera-validation-0022 alpha=0.0: completed
weighted validation 48: frontera-validation-0022 alpha=0.2: completed
weighted validation 48: frontera-validation-0022 alpha=0.5: completed
weighted validation 48: frontera-validation-0022 alpha=0.8: completed
weighted validation 48: frontera-validation-0022 alpha=1.0: completed
weighted validation 48: frontera-validation-0023 alpha=0.0: completed
weighted validation 48: frontera-validation-0023 alpha=0.2: completed
weighted validation 48: frontera-validation-0023 alpha=0.5: completed
weighted validation 48: frontera-validation-0023 alpha=0.8: completed
weighted validation 48: frontera-validation-0023 alpha=1.0: completed
weighted validation 64: frontera-validation-0000 alpha=0.0: completed
weighted validation 64: frontera-validation-0000 alpha=0.2: completed
weighted validation 64: frontera-validation-0000 alpha=0.5: completed
weighted validation 64: frontera-validation-0000 alpha=0.8: completed
weighted validation 64: frontera-validation-0000 alpha=1.0: completed
weighted validation 64: frontera-validation-0001 alpha=0.0: completed
weighted validation 64: frontera-validation-0001 alpha=0.2: completed
weighted validation 64: frontera-validation-0001 alpha=0.5: completed
weighted validation 64: frontera-validation-0001 alpha=0.8: completed
weighted validation 64: frontera-validation-0001 alpha=1.0: completed
weighted validation 64: frontera-validation-0002 alpha=0.0: completed
weighted validation 64: frontera-validation-0002 alpha=0.2: completed
weighted validation 64: frontera-validation-0002 alpha=0.5: completed
weighted validation 64: frontera-validation-0002 alpha=0.8: completed
weighted validation 64: frontera-validation-0002 alpha=1.0: completed
weighted validation 64: frontera-validation-0003 alpha=0.0: completed
weighted validation 64: frontera-validation-0003 alpha=0.2: completed
weighted validation 64: frontera-validation-0003 alpha=0.5: completed
weighted validation 64: frontera-validation-0003 alpha=0.8: completed
weighted validation 64: frontera-validation-0003 alpha=1.0: completed
weighted validation 64: frontera-validation-0004 alpha=0.0: completed
weighted validation 64: frontera-validation-0004 alpha=0.2: completed
weighted validation 64: frontera-validation-0004 alpha=0.5: completed
weighted validation 64: frontera-validation-0004 alpha=0.8: completed
weighted validation 64: frontera-validation-0004 alpha=1.0: completed
weighted validation 64: frontera-validation-0005 alpha=0.0: completed
weighted validation 64: frontera-validation-0005 alpha=0.2: completed
weighted validation 64: frontera-validation-0005 alpha=0.5: completed
weighted validation 64: frontera-validation-0005 alpha=0.8: completed
weighted validation 64: frontera-validation-0005 alpha=1.0: completed
weighted validation 64: frontera-validation-0006 alpha=0.0: completed
weighted validation 64: frontera-validation-0006 alpha=0.2: completed
weighted validation 64: frontera-validation-0006 alpha=0.5: completed
weighted validation 64: frontera-validation-0006 alpha=0.8: completed
weighted validation 64: frontera-validation-0006 alpha=1.0: completed
weighted validation 64: frontera-validation-0007 alpha=0.0: completed
weighted validation 64: frontera-validation-0007 alpha=0.2: completed
weighted validation 64: frontera-validation-0007 alpha=0.5: completed
weighted validation 64: frontera-validation-0007 alpha=0.8: completed
weighted validation 64: frontera-validation-0007 alpha=1.0: completed
weighted validation 64: frontera-validation-0008 alpha=0.0: completed
weighted validation 64: frontera-validation-0008 alpha=0.2: completed
weighted validation 64: frontera-validation-0008 alpha=0.5: completed
weighted validation 64: frontera-validation-0008 alpha=0.8: completed
weighted validation 64: frontera-validation-0008 alpha=1.0: completed
weighted validation 64: frontera-validation-0009 alpha=0.0: completed
weighted validation 64: frontera-validation-0009 alpha=0.2: completed
weighted validation 64: frontera-validation-0009 alpha=0.5: completed
weighted validation 64: frontera-validation-0009 alpha=0.8: completed
weighted validation 64: frontera-validation-0009 alpha=1.0: completed
weighted validation 64: frontera-validation-0010 alpha=0.0: completed
weighted validation 64: frontera-validation-0010 alpha=0.2: completed
weighted validation 64: frontera-validation-0010 alpha=0.5: completed
weighted validation 64: frontera-validation-0010 alpha=0.8: completed
weighted validation 64: frontera-validation-0010 alpha=1.0: completed
weighted validation 64: frontera-validation-0011 alpha=0.0: completed
weighted validation 64: frontera-validation-0011 alpha=0.2: completed
weighted validation 64: frontera-validation-0011 alpha=0.5: completed
weighted validation 64: frontera-validation-0011 alpha=0.8: completed
weighted validation 64: frontera-validation-0011 alpha=1.0: completed
weighted validation 64: frontera-validation-0012 alpha=0.0: completed
weighted validation 64: frontera-validation-0012 alpha=0.2: completed
weighted validation 64: frontera-validation-0012 alpha=0.5: completed
weighted validation 64: frontera-validation-0012 alpha=0.8: completed
weighted validation 64: frontera-validation-0012 alpha=1.0: completed
weighted validation 64: frontera-validation-0013 alpha=0.0: completed
weighted validation 64: frontera-validation-0013 alpha=0.2: completed
weighted validation 64: frontera-validation-0013 alpha=0.5: completed
weighted validation 64: frontera-validation-0013 alpha=0.8: completed
weighted validation 64: frontera-validation-0013 alpha=1.0: completed
weighted validation 64: frontera-validation-0014 alpha=0.0: completed
weighted validation 64: frontera-validation-0014 alpha=0.2: completed
weighted validation 64: frontera-validation-0014 alpha=0.5: completed
weighted validation 64: frontera-validation-0014 alpha=0.8: completed
weighted validation 64: frontera-validation-0014 alpha=1.0: completed
weighted validation 64: frontera-validation-0015 alpha=0.0: completed
weighted validation 64: frontera-validation-0015 alpha=0.2: completed
weighted validation 64: frontera-validation-0015 alpha=0.5: completed
weighted validation 64: frontera-validation-0015 alpha=0.8: completed
weighted validation 64: frontera-validation-0015 alpha=1.0: completed
weighted validation 64: frontera-validation-0016 alpha=0.0: completed
weighted validation 64: frontera-validation-0016 alpha=0.2: completed
weighted validation 64: frontera-validation-0016 alpha=0.5: completed
weighted validation 64: frontera-validation-0016 alpha=0.8: completed
weighted validation 64: frontera-validation-0016 alpha=1.0: completed
weighted validation 64: frontera-validation-0017 alpha=0.0: completed
weighted validation 64: frontera-validation-0017 alpha=0.2: completed
weighted validation 64: frontera-validation-0017 alpha=0.5: completed
weighted validation 64: frontera-validation-0017 alpha=0.8: completed
weighted validation 64: frontera-validation-0017 alpha=1.0: completed
weighted validation 64: frontera-validation-0018 alpha=0.0: completed
weighted validation 64: frontera-validation-0018 alpha=0.2: completed
weighted validation 64: frontera-validation-0018 alpha=0.5: completed
weighted validation 64: frontera-validation-0018 alpha=0.8: completed
weighted validation 64: frontera-validation-0018 alpha=1.0: completed
weighted validation 64: frontera-validation-0019 alpha=0.0: completed
weighted validation 64: frontera-validation-0019 alpha=0.2: completed
weighted validation 64: frontera-validation-0019 alpha=0.5: completed
weighted validation 64: frontera-validation-0019 alpha=0.8: completed
weighted validation 64: frontera-validation-0019 alpha=1.0: completed
weighted validation 64: frontera-validation-0020 alpha=0.0: completed
weighted validation 64: frontera-validation-0020 alpha=0.2: completed
weighted validation 64: frontera-validation-0020 alpha=0.5: completed
weighted validation 64: frontera-validation-0020 alpha=0.8: completed
weighted validation 64: frontera-validation-0020 alpha=1.0: completed
weighted validation 64: frontera-validation-0021 alpha=0.0: completed
weighted validation 64: frontera-validation-0021 alpha=0.2: completed
weighted validation 64: frontera-validation-0021 alpha=0.5: completed
weighted validation 64: frontera-validation-0021 alpha=0.8: completed
weighted validation 64: frontera-validation-0021 alpha=1.0: completed
weighted validation 64: frontera-validation-0022 alpha=0.0: completed
weighted validation 64: frontera-validation-0022 alpha=0.2: completed
weighted validation 64: frontera-validation-0022 alpha=0.5: completed
weighted validation 64: frontera-validation-0022 alpha=0.8: completed
weighted validation 64: frontera-validation-0022 alpha=1.0: completed
weighted validation 64: frontera-validation-0023 alpha=0.0: completed
weighted validation 64: frontera-validation-0023 alpha=0.2: completed
weighted validation 64: frontera-validation-0023 alpha=0.5: completed
weighted validation 64: frontera-validation-0023 alpha=0.8: completed
weighted validation 64: frontera-validation-0023 alpha=1.0: completed
Weighted C84 complete: /scratch2/09796/shuyuanfan4814/carbon/results/amsp-frontera-7b-c84-weighted-seed11
